crime_type,borough,date_reported,time_of_day,suspect_age,weapon_used,witness_count,evidence_count,officer_experience,response_time,case_status
Theft,CENTRAL,2024-11-13, afternoon ,30,Blunt Object,2,2,22,10.3,Solved
Burglary,North,08/09/2024, night ,51,NONE,2,3,8,17.8,SOLVED
Vandalism,CENTRAL,"Dec 15, 2025",Morning,35,None,0,2,13,12.3,Solved
 theft ,central,06-30-2025,morning,48,firearm,0,4,9,76.0,UNSOLVED
Burglary,WEST,2025-05-15,MORNING,42,Knife,0,4,22,11.5,Solved
Fraud, north ,08/03/2024,EVENING,-4,None,0,5,11,23.7,Unsolved
FRAUD,north,"May 24, 2024",AFTERNOON,37,blunt object,1,4,22,13.8,UNSOLVED
Theft,NORTH,08-02-2024,Evening,,blunt object,1,4,11,6.1,Unsolved
 assault ,NORTH,,NIGHT,46, none ,3,2,10,14.6,Solved
 vandalism ,north,31/10/2025,Morning,30,blunt object,4,5,15,11.8,Solved
THEFT,north,"Aug 23, 2024",evening,23, knife ,5,2,9,12.7, solved 
, west ,11-10-2025,NIGHT,48,Knife,1,4,14,12.1, unsolved 
Theft,East,2024-10-24, night ,51,OTHER,2,1,4,20.5,SOLVED
robbery,south,05/12/2024,NIGHT,39,None,1,1,1,,unsolved
assault,East,"May 29, 2025",evening,14,Firearm,0,4,16,8.7,unsolved
theft,SOUTH,05-14-2024,,24, blunt object ,1,5,10,14.8,unsolved
fraud,North,2025-04-08, evening ,36,KNIFE,1,4,9,13.2,SOLVED
Theft,North,13/01/2024, evening ,32,FIREARM,0,4,18,10.6,Unsolved
 assault ,south,"Nov 14, 2025",EVENING,40,,2,0,17,13.1,Unsolved
Fraud,WEST,01-02-2024, morning ,141,None,0,2,3,20.7,SOLVED
 fraud ,East,2025-10-09,evening,37, firearm ,3,3,18,17.7,SOLVED
Robbery,south,13/09/2025,morning,27,NONE,,1,13,11.8, solved 
THEFT,west,"Nov 17, 2024",Afternoon,40, firearm ,2,3,13,6.8,unsolved
Theft,North,10-16-2024,Morning,34, knife ,3,3,11,8.9,Solved
VANDALISM,SOUTH,2024-10-25,morning,27,None,0,2,1,12.2,Solved
Robbery,,25/06/2025,MORNING,40, none ,3,2,2,9.3, unsolved 
Theft,West,"Aug 07, 2025",AFTERNOON,28,other,1,4,16,21.9,Unsolved
